City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
52,Zaragoza,SV,2020-01-05 09:02:32,13.59,-89.29,78.8,57,0,4.7,clear sky,0.0,0.0
53,Nizhniy Kuranakh,RU,2020-01-05 09:02:32,58.84,125.49,12.09,95,100,5.44,light snow,0.0,0.56
54,Ponta Do Sol,BR,2020-01-05 09:02:32,-20.63,-46.0,65.75,95,33,1.39,scattered clouds,0.0,0.0
55,Mahebourg,MU,2020-01-05 09:02:32,-20.41,57.7,81.0,83,75,4.7,broken clouds,0.0,0.0
56,Norsup,VU,2020-01-05 09:02:32,-16.07,167.38,81.34,79,16,14.05,few clouds,0.0,0.0
57,Victoria,BN,2020-01-05 09:00:16,5.28,115.24,86.0,70,75,11.41,broken clouds,0.0,0.0
58,Port-Gentil,GA,2020-01-05 09:02:33,-0.72,8.78,82.4,88,40,8.05,scattered clouds,0.0,0.0
59,Luderitz,NA,2020-01-05 09:02:33,-26.65,15.16,61.59,88,0,11.5,clear sky,0.0,0.0
60,Butaritari,KI,2020-01-05 09:02:33,3.07,172.79,84.99,78,100,12.75,light rain,0.56,0.0
61,Gizo,IL,2020-01-05 09:02:33,31.8,34.94,57.99,71,75,18.34,broken clouds,0.0,0.0
62,Bambous Virieux,MU,2020-01-05 09:02:34,-20.34,57.76,81.0,83,75,4.7,broken clouds,0.0,0.0
63,Jamestown,AU,2020-01-05 09:02:34,-33.21,138.6,55.15,83,100,11.7,light rain,0.81,0.0
64,Oltu,TR,2020-01-05 09:02:34,40.55,42.0,27.01,60,0,3.36,clear sky,0.0,0.0
65,Bubaque,GW,2020-01-05 09:02:34,11.28,-15.83,73.78,43,0,18.95,clear sky,0.0,0.0
66,Mecca,SA,2020-01-05 08:59:02,21.43,39.83,67.51,43,17,12.39,few clouds,0.0,0.0
67,Tomatlan,MX,2020-01-05 09:02:35,19.93,-105.25,56.82,37,24,4.61,few clouds,0.0,0.0
68,Ancud,CL,2020-01-05 09:02:35,-41.87,-73.83,51.8,76,100,5.82,light rain,0.44,0.0
69,Saint-Philippe,CA,2020-01-05 09:02:35,45.36,-73.48,30.2,74,90,8.05,overcast clouds,0.0,0.0
70,Hithadhoo,MV,2020-01-05 09:02:35,-0.6,73.08,84.61,68,64,8.01,broken clouds,0.0,0.0
71,Naryan-Mar,RU,2020-01-05 09:02:36,67.67,53.09,16.99,85,65,18.14,broken clouds,0.0,0.0
72,Limbang,BN,2020-01-05 09:02:36,4.75,115.01,86.0,70,75,6.93,broken clouds,0.0,0.0
73,Kloulklubed,PW,2020-01-05 09:02:36,7.04,134.26,81.16,84,100,18.54,light rain,2.88,0.0
74,Coatetelco,MX,2020-01-05 09:02:36,18.72,-99.33,66.0,48,0,3.0,clear sky,0.0,0.0
75,Port Alfred,ZA,2020-01-05 09:02:37,-33.59,26.89,75.0,87,100,5.99,overcast clouds,0.0,0.0
76,Taree,AU,2020-01-05 09:02:37,-31.91,152.46,75.99,69,90,14.99,overcast clouds,0.0,0.0
77,Yinchuan,CN,2020-01-05 09:02:37,38.48,106.21,27.0,53,100,3.13,light snow,0.0,0.31
78,Wolcott,US,2020-01-05 09:01:28,41.6,-72.99,39.2,64,90,14.99,overcast clouds,0.0,0.0
79,Belaya Gora,RU,2020-01-05 09:02:37,68.54,146.19,-18.96,94,0,3.53,clear sky,0.0,0.0
80,Byron Bay,AU,2020-01-05 09:02:16,-28.65,153.62,86.0,73,0,12.75,clear sky,0.0,0.0
81,Kahului,US,2020-01-05 08:57:42,20.89,-156.47,75.2,73,1,13.87,clear sky,0.0,0.0
82,Margate,AU,2020-01-05 09:02:38,-43.03,147.26,64.4,45,20,9.17,few clouds,0.0,0.0
83,Yashkul,RU,2020-01-05 09:02:38,46.17,45.34,39.69,77,91,9.98,overcast clouds,0.0,0.0
84,Tarija,BO,2020-01-05 09:02:38,-21.53,-64.73,53.35,96,97,1.92,overcast clouds,0.0,0.0
85,Klaksvik,FO,2020-01-05 09:02:39,62.23,-6.59,46.4,81,100,13.87,overcast clouds,0.0,0.0
86,Tilichiki,RU,2020-01-05 09:02:39,60.47,166.1,-7.33,62,23,6.02,few clouds,0.0,0.0
87,Nikolskoye,RU,2020-01-05 09:02:39,59.7,30.79,32.0,78,75,15.66,broken clouds,0.0,0.0
88,Inongo,CD,2020-01-05 09:02:39,-1.93,18.29,87.75,51,100,2.19,overcast clouds,0.0,0.0
89,Lompoc,US,2020-01-05 09:02:40,34.64,-120.46,52.0,93,90,15.03,fog,0.0,0.0
90,Taoudenni,ML,2020-01-05 09:02:40,22.68,-3.98,57.6,22,0,9.8,clear sky,0.0,0.0
91,Opuwo,NA,2020-01-05 09:00:40,-18.06,13.84,73.63,65,93,3.67,overcast clouds,0.0,0.0
92,Coquimbo,CL,2020-01-05 09:02:40,-29.95,-71.34,60.8,87,90,6.93,overcast clouds,0.0,0.0
93,Mar Del Plata,AR,2020-01-05 09:02:41,-46.43,-67.52,55.81,42,100,22.75,overcast clouds,0.0,0.0
94,Alofi,NU,2020-01-05 09:02:41,-19.06,-169.92,75.2,94,0,3.36,clear sky,0.0,0.0
95,Tiksi,RU,2020-01-05 09:02:41,71.64,128.87,-17.16,87,57,9.55,broken clouds,0.0,0.0
96,Atar,MR,2020-01-05 09:02:41,20.52,-13.05,57.85,21,0,13.02,clear sky,0.0,0.0
97,Kodiak,US,2020-01-05 09:02:41,39.95,-94.76,37.99,55,1,13.87,clear sky,0.0,0.0
98,Paracuru,BR,2020-01-05 09:02:42,-3.41,-39.03,86.0,83,40,6.93,scattered clouds,0.0,0.0
99,Lavrentiya,RU,2020-01-05 09:02:42,65.58,-170.99,-7.47,84,100,10.16,overcast clouds,0.0,0.0
100,Polunochnoye,RU,2020-01-05 09:02:42,60.87,60.43,25.5,82,100,8.84,overcast clouds,0.0,0.0
101,Qaanaaq,GL,2020-01-05 09:02:42,77.48,-69.36,-35.63,52,0,6.46,clear sky,0.0,0.0
102,Nyaunglebin,MM,2020-01-05 09:02:43,17.95,96.73,89.91,39,32,4.43,scattered clouds,0.0,0.0
103,Kalangala,UG,2020-01-05 09:02:43,-0.32,32.29,78.8,74,20,5.82,few clouds,0.0,0.0
104,Bom Jesus,BR,2020-01-05 09:02:43,-9.08,-44.36,68.92,98,100,1.16,light rain,1.81,0.0
105,Herre,FR,2020-01-05 09:02:44,50.3,1.64,44.01,100,90,2.24,overcast clouds,0.0,0.0
106,Carnarvon,ZA,2020-01-05 09:02:44,-30.97,22.13,85.24,16,53,13.0,broken clouds,0.0,0.0
107,Malumfashi,NG,2020-01-05 09:02:44,11.79,7.62,65.75,24,100,18.7,overcast clouds,0.0,0.0
108,Port-Cartier,CA,2020-01-05 09:02:44,50.03,-66.88,15.8,72,90,6.93,overcast clouds,0.0,0.0
109,Ukiah,US,2020-01-05 09:02:44,39.15,-123.21,50.0,66,75,10.29,broken clouds,0.0,0.0
110,Tabou,CI,2020-01-05 09:01:05,4.42,-7.36,77.31,50,29,3.15,scattered clouds,0.0,0.0
111,Blagoyevo,RU,2020-01-05 09:02:45,63.37,47.92,15.26,97,100,3.71,overcast clouds,0.0,0.0
112,Castro,CL,2020-01-05 09:02:45,-42.48,-73.76,51.8,76,79,5.82,light rain,0.44,0.0
113,Hermanus,ZA,2020-01-05 09:02:45,-34.42,19.24,75.99,63,99,7.0,overcast clouds,0.0,0.0
114,Tecoanapa,MX,2020-01-05 09:02:45,16.99,-99.26,75.2,94,5,6.93,clear sky,0.0,0.0
115,Oni,GE,2020-01-05 09:02:46,42.59,43.44,33.42,57,0,2.48,clear sky,0.0,0.0
116,Vaini,IN,2020-01-05 09:02:46,15.34,74.49,84.2,35,40,6.93,scattered clouds,0.0,0.0
117,Anito,PH,2020-01-05 09:02:46,12.45,125.29,81.05,80,7,28.57,light rain,0.69,0.0
118,Port Elizabeth,US,2020-01-05 09:02:47,39.31,-74.98,43.0,55,90,14.99,overcast clouds,0.0,0.0
119,Znamenskoye,RU,2020-01-05 09:02:47,57.13,73.82,18.41,93,100,7.76,overcast clouds,0.0,0.0
120,Bredasdorp,ZA,2020-01-05 09:02:47,-34.53,20.04,80.6,42,100,11.41,overcast clouds,0.0,0.0
121,Tuktoyaktuk,CA,2020-01-05 09:02:47,69.44,-133.03,-24.3,92,78,6.91,broken clouds,0.0,0.0
122,Marsa Matruh,EG,2020-01-05 09:02:47,31.35,27.25,55.4,82,20,10.29,few clouds,0.0,0.0
123,Wasilla,US,2020-01-05 09:01:17,61.58,-149.44,0.0,83,75,0.54,broken clouds,0.0,0.0
124,San Patricio,PY,2020-01-05 09:02:48,-26.98,-56.83,67.5,79,0,0.76,clear sky,0.0,0.0
125,Praia Da Vitoria,PT,2020-01-05 09:02:48,38.73,-27.07,64.4,93,40,23.73,scattered clouds,0.0,0.0
126,Atuona,PF,2020-01-05 09:02:48,-9.8,-139.03,79.95,74,0,6.82,light rain,0.25,0.0
127,Lewiston,US,2020-01-05 09:01:15,44.1,-70.21,34.0,97,90,9.17,light rain,0.0,0.0
128,Liwale,TZ,2020-01-05 09:02:49,-9.8,37.92,85.17,59,93,5.64,overcast clouds,0.0,0.0
129,Ca Mau,VN,2020-01-05 09:00:40,9.18,105.15,86.23,45,63,13.47,broken clouds,0.0,0.0
130,Caravelas,BR,2020-01-05 09:02:49,-17.73,-39.27,75.18,89,100,6.46,light rain,1.0,0.0
131,Povenets,RU,2020-01-05 09:02:50,62.85,34.83,21.69,89,82,10.38,broken clouds,0.0,0.0
132,Zhigalovo,RU,2020-01-05 09:02:50,54.81,105.15,13.5,97,94,2.37,light snow,0.0,0.13
133,Ribeira Grande,PT,2020-01-05 09:02:50,38.52,-28.7,64.4,88,75,25.28,light intensity shower rain,0.0,0.0
134,Chuy,UY,2020-01-05 09:02:50,-33.69,-53.46,64.98,87,0,6.6,clear sky,0.0,0.0
135,Meulaboh,ID,2020-01-05 09:02:51,4.14,96.13,83.57,75,0,10.33,clear sky,0.0,0.0
136,Falmouth,GB,2020-01-05 09:02:51,50.16,-5.07,51.01,81,90,10.29,overcast clouds,0.0,0.0
137,Iqaluit,CA,2020-01-05 09:02:51,63.75,-68.52,-31.0,59,5,13.87,clear sky,0.0,0.0
138,New Norfolk,AU,2020-01-05 09:02:51,-42.78,147.06,64.4,45,20,9.17,few clouds,0.0,0.0
139,Smoky Lake,CA,2020-01-05 09:02:51,54.11,-112.47,19.99,81,0,4.0,clear sky,0.0,0.0
140,Provideniya,RU,2020-01-05 09:02:52,64.42,-173.23,-9.81,98,90,9.82,light snow,0.0,0.13
141,Acajutla,SV,2020-01-05 09:02:52,13.59,-89.83,69.01,78,0,11.01,clear sky,0.0,0.0
142,Alihe,CN,2020-01-05 09:02:52,50.57,123.73,6.15,89,0,1.72,clear sky,0.0,0.0
143,Lagoa,PT,2020-01-05 09:02:52,37.14,-8.45,53.6,76,20,8.05,few clouds,0.0,0.0
144,Buchanan,LR,2020-01-05 09:02:52,5.88,-10.05,68.0,82,20,4.7,mist,0.0,0.0
145,Camacha,PT,2020-01-05 09:02:53,33.08,-16.33,62.6,87,20,3.36,few clouds,0.0,0.0
146,Bonavista,CA,2020-01-05 09:02:53,48.65,-53.11,24.93,81,33,2.77,scattered clouds,0.0,0.0
147,Agen,FR,2020-01-05 09:02:53,44.2,0.62,39.0,81,90,2.24,fog,0.0,0.0
148,Kamaishi,JP,2020-01-05 09:02:53,39.28,141.86,32.0,64,40,9.17,shower rain,0.0,0.0
149,Komsomolskiy,RU,2020-01-05 09:02:53,67.55,63.78,22.84,90,100,27.25,light snow,0.0,0.56
150,Shar,NG,2020-01-05 09:02:54,7.3,8.73,82.15,16,5,11.16,clear sky,0.0,0.0
151,Marzuq,YE,2020-01-05 09:02:54,14.4,46.47,84.07,20,0,5.79,clear sky,0.0,0.0
152,Yar-Sale,RU,2020-01-05 09:02:54,66.83,70.83,21.25,79,0,20.78,clear sky,0.0,0.0
153,Port Lincoln,AU,2020-01-05 09:02:54,-34.72,135.86,61.92,73,84,15.97,broken clouds,0.0,0.0
154,Karasjok,NO,2020-01-05 09:02:54,69.47,25.52,26.6,68,47,32.21,scattered clouds,0.0,0.0
155,Yumen,CN,2020-01-05 09:02:55,40.29,97.04,25.32,47,100,11.32,overcast clouds,0.0,0.0
156,Darnah,LY,2020-01-05 09:02:55,32.77,22.64,61.39,72,97,25.86,light rain,0.19,0.0
157,Pangkalanbuun,ID,2020-01-05 09:02:55,-2.68,111.62,85.71,73,50,3.89,moderate rain,4.19,0.0
158,Narsaq,GL,2020-01-05 09:02:55,60.91,-46.05,23.0,79,100,4.7,light shower snow,0.0,0.0
159,Savinka,RU,2020-01-05 09:02:55,50.08,47.1,33.46,91,100,12.97,overcast clouds,0.0,0.0
160,Sao Francisco Do Sul,BR,2020-01-05 09:02:56,-26.24,-48.64,69.01,61,53,9.73,light rain,0.44,0.0
161,Kaitangata,NZ,2020-01-05 09:02:56,-46.28,169.85,54.0,50,17,20.0,few clouds,0.0,0.0
162,Luganville,VU,2020-01-05 09:02:56,-15.51,167.18,73.15,93,20,2.55,few clouds,0.0,0.0
163,Ust-Kut,RU,2020-01-05 09:02:57,56.78,105.75,13.44,94,99,6.24,light snow,0.0,0.13
164,Laguna,BZ,2020-01-05 09:02:57,16.17,-88.94,71.6,83,75,11.41,broken clouds,0.0,0.0
165,Igunga,TZ,2020-01-05 09:02:57,-4.28,33.88,79.99,55,93,4.79,overcast clouds,0.0,0.0
166,La Romana,DO,2020-01-05 09:00:32,18.43,-68.97,73.4,94,75,3.36,broken clouds,0.0,0.0
167,Dumai,ID,2020-01-05 09:02:57,1.68,101.45,88.79,53,19,4.92,few clouds,0.0,0.0
168,Outjo,NA,2020-01-05 09:02:58,-20.11,16.16,72.19,65,99,6.26,overcast clouds,0.0,0.0
169,Bushehr,IR,2020-01-05 09:02:58,28.97,50.84,68.0,56,64,4.7,broken clouds,0.0,0.0
170,Tasiilaq,GL,2020-01-05 09:02:58,65.61,-37.64,26.6,68,100,5.82,overcast clouds,0.0,0.0
171,Hasaki,JP,2020-01-05 09:01:46,35.73,140.83,42.01,48,20,8.05,few clouds,0.0,0.0
172,Saurimo,AO,2020-01-05 09:02:58,-9.66,20.4,73.4,78,75,4.18,broken clouds,0.0,0.0
173,Yellowknife,CA,2020-01-05 09:02:59,62.45,-114.38,0.0,77,90,12.75,light snow,0.0,0.0
174,Umm Lajj,SA,2020-01-05 09:02:59,25.02,37.27,65.32,24,22,8.93,few clouds,0.0,0.0
175,Nanortalik,GL,2020-01-05 09:02:59,60.14,-45.24,30.45,76,100,21.27,overcast clouds,0.0,0.0
176,Shahpur,IN,2020-01-05 09:02:59,22.19,77.91,70.03,34,0,3.87,clear sky,0.0,0.0
177,Clemencia,CO,2020-01-05 09:03:00,10.57,-75.33,80.6,83,40,10.29,scattered clouds,0.0,0.0
178,Popondetta,PG,2020-01-05 09:03:00,-8.77,148.24,69.03,94,96,2.24,moderate rain,11.63,0.0
179,Amapa,HN,2020-01-05 09:03:00,15.09,-87.97,71.6,100,90,3.36,overcast clouds,0.0,0.0
180,Torbay,CA,2020-01-05 09:03:00,47.66,-52.73,30.99,92,90,2.24,overcast clouds,0.0,0.0
181,Sirjan,IR,2020-01-05 09:03:01,29.44,55.67,48.29,70,100,26.78,light rain,2.0,0.0
182,Paso De Carrasco,UY,2020-01-05 09:03:01,-34.86,-56.05,68.0,77,0,6.93,clear sky,0.0,0.0
183,Katsuura,JP,2020-01-05 09:03:01,33.93,134.5,48.2,42,75,11.41,broken clouds,0.0,0.0
184,Henties Bay,NA,2020-01-05 09:03:01,-22.12,14.28,66.99,80,39,3.0,scattered clouds,0.0,0.0
185,Tuatapere,NZ,2020-01-05 09:03:01,-46.13,167.69,52.0,71,41,11.99,light rain,0.31,0.0
186,Grindavik,IS,2020-01-05 09:03:02,63.84,-22.43,37.4,66,75,34.45,light rain,0.0,0.0
187,Corinto,CO,2020-01-05 09:03:02,3.17,-76.26,68.0,94,40,3.36,scattered clouds,0.0,0.0
188,Goderich,CA,2020-01-05 09:00:21,43.74,-81.71,34.0,90,100,13.0,light snow,0.0,0.5
189,Turukhansk,RU,2020-01-05 09:03:02,65.8,87.96,17.56,93,100,16.44,light snow,0.0,0.88
190,Lulea,SE,2020-01-05 09:03:02,65.58,22.15,15.8,85,100,2.24,overcast clouds,0.0,0.0
191,Sines,PT,2020-01-05 09:03:03,37.96,-8.87,43.0,89,0,8.55,clear sky,0.0,0.0
192,Oranjemund,ZA,2020-01-05 09:03:03,-28.55,16.43,71.82,58,1,13.18,clear sky,0.0,0.0
193,Sitka,US,2020-01-05 09:03:03,37.17,-99.65,39.99,65,41,11.99,scattered clouds,0.0,0.0
194,Sorland,NO,2020-01-05 09:03:03,67.67,12.69,34.39,92,100,36.22,light snow,0.0,0.13
195,Aljezur,PT,2020-01-05 09:03:03,37.31,-8.8,52.0,79,0,8.75,clear sky,0.0,0.0
196,Puerto Escondido,MX,2020-01-05 09:03:04,15.86,-97.07,71.6,83,40,5.82,scattered clouds,0.0,0.0
197,Saint-Pierre,FR,2020-01-05 09:03:04,48.95,4.24,35.6,100,0,3.36,fog,0.0,0.0
198,Lata,IN,2020-01-05 09:03:04,30.78,78.62,18.59,64,80,7.34,broken clouds,0.0,0.0
199,Port Hardy,CA,2020-01-05 09:03:04,50.7,-127.42,41.0,86,90,12.75,light intensity shower rain,0.0,0.0
200,Ghanzi,BW,2020-01-05 09:03:05,-21.7,21.65,80.94,50,93,4.94,light rain,0.5,0.0
201,Lujiang,CN,2020-01-05 09:03:05,31.26,117.28,50.0,93,90,6.71,mist,0.0,0.0
202,Luohe,CN,2020-01-05 09:03:05,33.57,114.03,41.54,93,100,11.16,light rain,1.81,0.0
203,Guangyuan,CN,2020-01-05 09:03:05,32.43,105.86,55.0,49,89,5.19,overcast clouds,0.0,0.0
204,Makakilo City,US,2020-01-05 09:00:46,21.35,-158.09,75.99,100,90,4.7,light intensity drizzle,0.0,0.0
205,Saint Anthony,US,2020-01-05 09:03:06,43.97,-111.68,21.2,92,20,3.36,mist,0.0,0.0
206,Khani,GE,2020-01-05 09:03:06,41.96,42.96,44.6,65,75,5.82,broken clouds,0.0,0.0
207,Georgetown,GY,2020-01-05 09:03:06,6.8,-58.16,68.0,100,20,12.73,few clouds,0.0,0.0
208,Fortuna,US,2020-01-05 09:03:06,40.6,-124.16,46.4,100,90,9.17,overcast clouds,0.0,0.0
209,Khash,IR,2020-01-05 09:03:06,28.22,61.21,57.49,66,100,21.56,light rain,0.13,0.0
210,Frankfort,US,2020-01-05 09:03:07,38.2,-84.87,35.6,92,90,5.82,overcast clouds,0.0,0.0
211,Stokmarknes,NO,2020-01-05 09:03:07,68.56,14.91,30.99,82,100,4.0,light snow,0.0,0.38
212,Geraldton,CA,2020-01-05 09:03:07,49.72,-86.95,14.0,78,90,2.24,light snow,0.0,0.0
213,Fallon,US,2020-01-05 09:03:07,46.84,-105.12,33.01,73,75,27.51,broken clouds,0.0,0.0
214,Roald,NO,2020-01-05 09:03:08,62.58,6.12,44.01,81,75,23.04,light intensity drizzle rain,0.0,0.0
215,Vung Tau,VN,2020-01-05 09:01:35,10.35,107.08,82.71,56,97,12.17,overcast clouds,0.0,0.0
216,Longyearbyen,NO,2020-01-05 09:03:08,78.22,15.63,5.0,71,40,2.24,scattered clouds,0.0,0.0
217,Erzurum,TR,2020-01-05 09:03:08,39.91,41.27,23.0,92,75,1.95,broken clouds,0.0,0.0
218,Isangel,VU,2020-01-05 09:03:08,-19.55,169.27,76.48,81,39,16.51,light rain,0.13,0.0
219,Buraydah,SA,2020-01-05 09:03:09,26.33,43.97,57.2,54,0,92.16,clear sky,0.0,0.0
220,Rocha,UY,2020-01-05 09:03:09,-34.48,-54.34,60.01,93,0,7.52,clear sky,0.0,0.0
221,Saint-Denis,FR,2020-01-05 09:03:09,48.94,2.36,45.0,87,90,3.36,overcast clouds,0.0,0.0
222,Marawi,PH,2020-01-05 09:03:09,8.0,124.29,82.99,84,23,5.01,few clouds,0.0,0.0
223,Saldanha,PT,2020-01-05 09:03:10,41.42,-6.55,36.12,83,0,1.68,clear sky,0.0,0.0
224,Choix,MX,2020-01-05 09:03:10,26.71,-108.33,59.58,41,0,4.05,clear sky,0.0,0.0
225,Barcelos,BR,2020-01-05 09:03:10,-0.97,-62.93,72.84,77,68,1.16,broken clouds,0.0,0.0
226,Bud,NO,2020-01-05 09:03:10,62.91,6.91,42.8,93,90,9.17,moderate rain,0.0,0.0
227,Vestmanna,FO,2020-01-05 09:03:11,62.16,-7.17,46.4,81,99,13.87,overcast clouds,0.0,0.0
228,Sarangani,PH,2020-01-05 09:03:11,5.4,125.46,81.79,77,1,23.82,clear sky,0.0,0.0
229,Hovd,NO,2020-01-05 09:03:11,63.83,10.7,37.99,64,90,12.75,shower rain,0.0,0.0
230,Miyako,JP,2020-01-05 09:03:11,33.63,130.94,52.0,53,75,8.05,broken clouds,0.0,0.0
231,Urengoy,RU,2020-01-05 09:03:11,65.96,78.37,22.44,91,73,16.51,light snow,0.0,0.13
232,Quelimane,MZ,2020-01-05 09:03:12,-17.88,36.89,82.4,83,40,4.7,scattered clouds,0.0,0.0
233,Cherskiy,RU,2020-01-05 09:03:12,68.75,161.3,-4.5,60,20,7.36,few clouds,0.0,0.0
234,Moron,HT,2020-01-05 09:03:12,18.56,-74.26,77.85,81,1,15.39,clear sky,0.0,0.0
