City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Georgetown,GY,2020-01-04 20:06:34,6.8,-58.16,86.0,66,20,9.17
70,Sitka,US,2020-01-04 20:05:27,37.17,-99.65,54.0,44,0,5.01
71,Bonthe,SL,2020-01-04 20:06:34,7.53,-12.5,77.74,57,32,6.89
72,Rawson,AR,2020-01-04 20:06:34,-43.3,-65.11,59.2,76,0,16.04
73,Zhigansk,RU,2020-01-04 20:06:35,66.77,123.37,-20.09,94,100,10.76
74,Cape Town,ZA,2020-01-04 20:03:10,-33.93,18.42,69.01,72,29,8.05
75,Nuuk,GL,2020-01-04 20:06:35,64.17,-51.74,23.0,85,75,5.82
76,Berlevag,NO,2020-01-04 20:06:35,70.86,29.09,25.59,73,100,32.3
77,San Lorenzo,HN,2020-01-04 20:02:30,13.43,-87.45,93.2,41,100,4.7
78,Constitucion,MX,2020-01-04 20:06:36,23.99,-104.67,55.99,29,5,8.05
79,Butaritari,KI,2020-01-04 20:06:36,3.07,172.79,84.61,78,38,15.12
80,Luoyang,CN,2020-01-04 20:06:36,34.66,112.42,39.58,90,100,9.48
81,Chapais,CA,2020-01-04 20:06:36,49.78,-74.86,10.4,78,90,3.36
82,Oktyabrskoye,RU,2020-01-04 20:06:36,56.73,85.44,24.8,85,40,20.13
83,Pevek,RU,2020-01-04 20:03:23,69.7,170.27,-5.69,64,0,2.66
84,Emba,CY,2020-01-04 20:06:37,34.81,32.42,60.8,67,75,19.46
85,Tiksi,RU,2020-01-04 20:06:37,71.64,128.87,-16.85,86,77,7.58
86,Magadan,RU,2020-01-04 20:06:37,59.56,150.8,18.61,75,54,20.47
87,Port Blair,IN,2020-01-04 20:01:57,11.67,92.75,81.05,74,98,9.51
88,Punta Arenas,CL,2020-01-04 20:06:38,-53.16,-70.91,59.0,44,40,14.99
89,Port Alfred,ZA,2020-01-04 20:03:47,-33.59,26.89,71.01,98,100,1.95
90,Dzemul,MX,2020-01-04 20:06:38,21.21,-89.31,78.01,65,90,11.41
91,Birecik,TR,2020-01-04 20:06:38,37.03,37.98,39.2,93,90,4.7
92,Vaini,IN,2020-01-04 20:06:38,15.34,74.49,59.25,75,0,1.34
93,Ranau,MY,2020-01-04 20:06:39,5.95,116.67,77.0,88,75,2.24
94,Bolitoc,PH,2020-01-04 20:06:39,15.74,119.88,71.44,76,61,6.24
95,High Level,CA,2020-01-04 20:06:39,58.52,-117.13,3.2,84,40,5.82
96,Coquimbo,CL,2020-01-04 20:06:39,-29.95,-71.34,66.2,72,40,13.87
97,Fare,PF,2020-01-04 20:05:00,-16.7,-151.02,81.61,76,100,11.63
98,Port Hedland,AU,2020-01-04 20:06:40,-20.31,118.58,82.4,65,100,16.11
99,Castro,CL,2020-01-04 20:03:25,-42.48,-73.76,64.4,55,0,10.29
100,Uthal,PK,2020-01-04 20:06:40,25.81,66.62,64.67,75,0,4.68
101,Pyshchug,RU,2020-01-04 20:06:40,58.89,45.71,27.59,96,100,6.76
102,Kutum,SD,2020-01-04 20:06:40,14.2,24.66,54.39,27,0,5.01
103,Hithadhoo,MV,2020-01-04 20:06:41,-0.6,73.08,83.03,68,99,4.38
104,Najran,SA,2020-01-04 20:06:41,17.54,44.22,77.0,23,75,4.68
105,Kijang,KR,2020-01-04 20:06:41,35.24,129.21,32.0,56,0,4.7
106,Jacksonville,US,2020-01-04 20:06:41,30.33,-81.66,70.0,73,75,14.99
107,Estelle,FR,2020-01-04 20:06:42,43.97,3.47,50.0,53,0,11.41
108,Northam,AU,2020-01-04 20:06:42,-31.65,116.67,66.2,34,0,11.41
109,Bogorodskoye,RU,2020-01-04 20:06:42,52.37,140.44,-6.7,100,99,3.69
110,Singaraja,ID,2020-01-04 20:06:43,-8.11,115.08,81.59,74,100,4.45
111,Kaitangata,NZ,2020-01-04 20:06:43,-46.28,169.85,49.23,86,100,7.96
112,Saldanha,PT,2020-01-04 20:06:43,41.42,-6.55,38.01,86,0,4.61
113,Spring Hill,US,2020-01-04 20:06:43,28.46,-82.54,70.0,72,90,19.46
114,San Patricio,PY,2020-01-04 20:06:13,-26.98,-56.83,90.84,31,0,3.33
115,Neiafu,TO,2020-01-04 20:06:44,-18.65,-173.98,77.0,78,20,3.36
116,Bambous Virieux,MU,2020-01-04 20:05:06,-20.34,57.76,79.0,94,40,13.6
117,Mapastepec,MX,2020-01-04 20:06:44,15.44,-92.9,88.7,42,74,6.44
118,Katsuura,JP,2020-01-04 20:06:45,33.93,134.5,46.4,61,75,13.87
119,Svetlogorsk,RU,2020-01-04 20:06:45,53.14,59.15,23.0,85,40,22.37
120,Koster,ZA,2020-01-04 20:06:45,-25.86,26.9,69.01,50,0,11.7
121,Nikolskoye,RU,2020-01-04 20:06:45,59.7,30.79,34.0,86,90,15.66
122,Santa Marta,CO,2020-01-04 20:06:45,11.24,-74.21,91.4,55,20,6.93
123,Astara,AZ,2020-01-04 20:06:46,38.42,48.87,42.8,100,75,3.36
124,Jimma,ET,2020-01-04 20:06:46,7.67,36.84,62.51,78,70,2.39
125,Haines Junction,CA,2020-01-04 20:06:46,60.75,-137.51,-8.25,97,100,3.31
126,Tshikapa,CD,2020-01-04 20:06:46,-6.42,20.79,70.95,95,100,0.81
127,Lorengau,PG,2020-01-04 20:06:47,-2.02,147.27,84.31,72,90,9.06
128,Saint-Joseph,FR,2020-01-04 20:06:47,43.56,6.97,52.0,87,0,4.7
129,Kultuk,RU,2020-01-04 20:06:47,51.73,103.71,7.72,73,7,3.85
130,Chokurdakh,RU,2020-01-04 20:06:48,70.62,147.9,-14.71,98,73,0.81
131,Kudahuvadhoo,MV,2020-01-04 20:06:48,2.67,72.89,82.18,78,1,8.08
