City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
207,Georgetown,GY,68.0,few clouds,6.8,-58.16,Kanhai's Center
215,Vung Tau,VN,82.71,overcast clouds,10.35,107.08,Seaside Resort
222,Marawi,PH,82.99,few clouds,8.0,124.29,Derogongan Residence
225,Barcelos,BR,72.84,broken clouds,-0.97,-62.93,Barco Hotel Princesa Amazonia
228,Sarangani,PH,81.79,clear sky,5.4,125.46,Ballistic Islet
232,Quelimane,MZ,82.4,scattered clouds,-17.88,36.89,Hotel Flamingo
234,Moron,HT,77.85,clear sky,18.56,-74.26,
239,Bowen,AU,81.0,overcast clouds,-20.01,148.25,Rose Bay Resort
246,Alice Springs,AU,82.4,broken clouds,-23.7,133.88,Desert Palms Alice Springs
250,Praya,ID,87.8,broken clouds,-8.71,116.27,Grand Royal B.I.L Lombok
255,Esperance,AU,86.0,few clouds,-33.86,121.89,Hospitality Esperance
257,Mahajanga,MG,80.6,scattered clouds,-15.72,46.32,Restaurant gourmand Coco Lodge Majunga
263,Pisco,PE,69.8,overcast clouds,-13.71,-76.2,Hostal San Isidro Oficial
266,Maracaibo,CO,68.0,scattered clouds,3.41,-75.78,
267,Luena,AO,68.0,broken clouds,-11.78,19.91,Hotel Kandamba
268,Tshikapa,CD,81.07,overcast clouds,-6.42,20.79,hôtel paradis de Tshikapa
269,Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
274,Beruwala,LK,84.18,scattered clouds,6.48,79.98,The Eden Resort & Spa
275,Puerto Quijarro,BO,71.08,clear sky,-19.0,-57.72,Hotel Bibosi
281,Nelson Bay,AU,71.6,overcast clouds,-32.72,152.14,Mantra Nelson Bay
284,Dalian,CN,77.0,scattered clouds,19.86,110.11,
285,Balabac,PH,81.45,clear sky,7.99,117.06,Sing and Swing Lodge
293,Bathsheba,BB,75.2,few clouds,13.22,-59.52,Atlantis Hotel
296,Faya,SA,66.2,broken clouds,18.39,42.45,مقبرة ال مجمل
304,Port Blair,IN,81.68,few clouds,11.67,92.75,Fortune Resort Bay Island
306,Sur,OM,81.25,few clouds,22.57,59.53,Sur Plaza Hotel
307,Najran,SA,82.4,clear sky,17.54,44.22,فندق حياة نجران
311,Namibe,AO,73.4,overcast clouds,-15.19,12.15,Chik-Chik Namibe
313,Ambagarh Chauki,IN,74.73,clear sky,20.78,80.75,Afjal Furite Corner
316,Santa Luzia,BR,69.8,broken clouds,-19.77,-43.85,Solar do Carmo Hotel e Eventos
317,Lebu,ET,71.78,clear sky,8.96,38.73,Dah-Lak Guest House
322,Soyo,AO,82.4,few clouds,-6.13,12.37,Hotel Mpampa
323,Matara,BI,80.6,broken clouds,-3.48,29.48,
324,Cidreira,BR,72.0,clear sky,-30.17,-50.22,Pond Country Club
326,Iquitos,PE,73.4,few clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
332,Inhambane,MZ,87.8,few clouds,-23.87,35.38,MHL Turismo SA
333,Karratha,AU,84.99,overcast clouds,-20.74,116.85,ibis Styles Karratha
337,Nakasongola,UG,83.86,overcast clouds,1.32,32.46,Norena Hotel
339,Natal,BR,75.2,few clouds,-5.81,-35.21,Monza Palace Hotel
343,Vila Velha,BR,86.0,scattered clouds,-3.71,-38.6,Hotel Iparana Paradise
351,Satkhira,BD,66.2,haze,22.72,89.08,Tamal's Palace
352,Codrington,AU,86.0,clear sky,-28.95,153.24,
353,Inirida,CO,69.98,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
354,Xuddur,SO,88.32,clear sky,4.12,43.89,Banjanay Hotel
355,Sehithwa,BW,85.12,overcast clouds,-20.47,22.7,MONLEK GUEST HOUSE
358,Mana,NG,68.74,clear sky,13.03,5.27,RG Palace
361,Manica,MZ,78.8,broken clouds,-18.94,32.88,Piscina Olimpica de Manica Guesthouse
365,Walvis Bay,,66.99,overcast clouds,-22.95,14.51,Oyster Box Guesthouse
366,Oussouye,SN,66.2,clear sky,12.49,-16.54,Auberge du Routard
371,Salalah,OM,80.6,broken clouds,17.01,54.1,HAMDAN PLAZA HOTEL
372,Kirakira,SB,79.21,overcast clouds,-10.46,161.92,Freshwind
373,Nyahururu,KE,68.45,overcast clouds,0.03,36.37,Sandton Guest House
376,Alenquer,BR,75.2,light rain,-1.95,-54.74,Detinha Hotel
379,Kamakwie,SL,71.1,clear sky,9.5,-12.24,
384,Barabai,ID,84.2,overcast clouds,-2.59,115.38,"Hotel Q Inn, Barabai"
388,Parana,BR,71.31,scattered clouds,-7.52,-72.89,
391,San Quintin,PH,79.12,broken clouds,17.54,120.52,San Quintin River Resort
392,Dwarka,IN,66.2,haze,28.58,77.04,Radisson Blu New Delhi Dwarka
394,Bahia De Caraquez,EC,77.0,overcast clouds,-0.6,-80.42,La Piedra Hotel
395,High Rock,BS,70.11,clear sky,26.63,-78.28,Ocean Pearl Bonefishing Resort
396,Claudio,BR,65.16,scattered clouds,-20.44,-44.77,Hotel 3 Irmãos
398,Antofagasta,CL,72.0,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
404,Huarmey,PE,68.77,overcast clouds,-10.07,-78.15,Hotel Miramar
407,Ahuimanu,US,75.99,light rain,21.44,-157.84,Paradise Bay Resort
409,Porto Novo,BR,68.0,mist,-23.68,-45.44,Harmonia
412,Lorengau,PG,83.98,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
413,Plettenberg Bay,ZA,71.49,scattered clouds,-34.05,23.37,Thanda Vista B&B
414,Paita,PE,74.19,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
